session,participant,period,menu,displayed_first,choice
20210625_1400,giaw6638,1,25,q,p
20210625_1400,ty10jr1q,1,2,q,q
20210625_1400,yrmtcn62,1,17,q,p
20210625_1400,duxn23dk,1,16,q,p
20210625_1400,giaw6638,2,14,p,q
20210625_1400,ty10jr1q,2,7,p,q
20210625_1400,yrmtcn62,2,20,p,p
20210625_1400,duxn23dk,2,18,p,q
20210625_1400,giaw6638,3,22,q,q
20210625_1400,ty10jr1q,3,3,p,q
20210625_1400,yrmtcn62,3,14,q,p
20210625_1400,duxn23dk,3,12,q,q
20210625_1400,giaw6638,4,4,p,q
20210625_1400,ty10jr1q,4,18,q,p
20210625_1400,yrmtcn62,4,8,p,q
20210625_1400,duxn23dk,4,8,p,p
20210625_1400,giaw6638,5,13,q,q
20210625_1400,ty10jr1q,5,13,q,q
20210625_1400,yrmtcn62,5,5,p,q
20210625_1400,duxn23dk,5,15,q,q
20210625_1400,giaw6638,6,12,q,q
20210625_1400,ty10jr1q,6,6,p,q
20210625_1400,yrmtcn62,6,21,q,p
20210625_1400,duxn23dk,6,21,q,q
20210625_1400,giaw6638,7,3,p,q
20210625_1400,ty10jr1q,7,14,p,q
20210625_1400,yrmtcn62,7,9,p,p
20210625_1400,duxn23dk,7,24,p,q
20210625_1400,giaw6638,8,15,p,q
20210625_1400,ty10jr1q,8,12,q,q
20210625_1400,yrmtcn62,8,16,p,p
20210625_1400,duxn23dk,8,20,q,p
20210625_1400,giaw6638,9,6,q,q
20210625_1400,ty10jr1q,9,21,p,q
20210625_1400,yrmtcn62,9,24,p,p
20210625_1400,duxn23dk,9,13,p,p
20210625_1400,giaw6638,10,24,p,p
20210625_1400,ty10jr1q,10,24,q,p
20210625_1400,yrmtcn62,10,3,p,q
20210625_1400,duxn23dk,10,1,q,q
20210625_1400,giaw6638,11,19,q,p
20210625_1400,ty10jr1q,11,10,p,q
20210625_1400,yrmtcn62,11,12,p,q
20210625_1400,duxn23dk,11,23,p,p
20210625_1400,giaw6638,12,23,p,q
20210625_1400,ty10jr1q,12,1,q,p
20210625_1400,yrmtcn62,12,7,p,q
20210625_1400,duxn23dk,12,6,p,q
20210625_1400,giaw6638,13,11,q,q
20210625_1400,ty10jr1q,13,19,p,p
20210625_1400,yrmtcn62,13,19,p,p
20210625_1400,duxn23dk,13,2,p,q
20210625_1400,giaw6638,14,16,p,q
20210625_1400,ty10jr1q,14,22,q,q
20210625_1400,yrmtcn62,14,1,q,p
20210625_1400,duxn23dk,14,22,q,q
20210625_1400,giaw6638,15,17,q,q
20210625_1400,ty10jr1q,15,8,p,q
20210625_1400,yrmtcn62,15,4,p,p
20210625_1400,duxn23dk,15,9,q,p
20210625_1400,giaw6638,16,8,q,q
20210625_1400,ty10jr1q,16,15,p,q
20210625_1400,yrmtcn62,16,11,p,p
20210625_1400,duxn23dk,16,19,q,p
20210625_1400,giaw6638,17,20,q,p
20210625_1400,ty10jr1q,17,4,q,p
20210625_1400,yrmtcn62,17,15,p,q
20210625_1400,duxn23dk,17,11,q,p
20210625_1400,giaw6638,18,21,q,q
20210625_1400,ty10jr1q,18,23,q,p
20210625_1400,yrmtcn62,18,23,p,p
20210625_1400,duxn23dk,18,17,p,p
20210625_1400,giaw6638,19,2,p,q
20210625_1400,ty10jr1q,19,17,p,q
20210625_1400,yrmtcn62,19,13,p,q
20210625_1400,duxn23dk,19,3,p,q
20210625_1400,giaw6638,20,9,q,p
20210625_1400,ty10jr1q,20,5,p,q
20210625_1400,yrmtcn62,20,25,p,p
20210625_1400,duxn23dk,20,7,p,p
20210625_1400,giaw6638,21,7,p,q
20210625_1400,ty10jr1q,21,16,q,p
20210625_1400,yrmtcn62,21,6,q,q
20210625_1400,duxn23dk,21,5,p,q
20210625_1400,giaw6638,22,1,p,q
20210625_1400,ty10jr1q,22,9,p,q
20210625_1400,yrmtcn62,22,2,q,p
20210625_1400,duxn23dk,22,25,q,q
20210625_1400,giaw6638,23,18,p,q
20210625_1400,ty10jr1q,23,11,p,q
20210625_1400,yrmtcn62,23,18,q,p
20210625_1400,duxn23dk,23,14,q,p
20210625_1400,giaw6638,24,5,p,q
20210625_1400,ty10jr1q,24,20,q,p
20210625_1400,yrmtcn62,24,22,q,q
20210625_1400,duxn23dk,24,4,q,p
20210625_1400,giaw6638,25,10,q,q
20210625_1400,ty10jr1q,25,25,q,q
20210625_1400,yrmtcn62,25,10,q,q
20210625_1400,duxn23dk,25,10,p,p
20210628_1000,mh9jvilu,1,25,q,p
20210628_1000,kp0napa4,1,2,q,q
20210628_1000,a3an30lg,1,17,q,p
20210628_1000,zw36ul8j,1,16,q,q
20210628_1000,qfx1xiey,1,14,q,p
20210628_1000,l83ddudz,1,16,p,p
20210628_1000,amoaaj9x,1,12,p,q
20210628_1000,owzo4wwo,1,2,q,p
20210628_1000,mh9jvilu,2,14,p,p
20210628_1000,kp0napa4,2,7,p,q
20210628_1000,a3an30lg,2,20,p,p
20210628_1000,zw36ul8j,2,18,p,p
20210628_1000,qfx1xiey,2,4,p,p
20210628_1000,l83ddudz,2,13,p,q
20210628_1000,amoaaj9x,2,2,q,q
20210628_1000,owzo4wwo,2,20,q,p
20210628_1000,mh9jvilu,3,22,q,q
20210628_1000,kp0napa4,3,3,p,q
20210628_1000,a3an30lg,3,14,q,p
20210628_1000,zw36ul8j,3,12,q,p
20210628_1000,qfx1xiey,3,20,p,p
20210628_1000,l83ddudz,3,18,p,p
20210628_1000,amoaaj9x,3,8,p,p
20210628_1000,owzo4wwo,3,6,p,p
20210628_1000,mh9jvilu,4,4,p,p
20210628_1000,kp0napa4,4,18,q,q
20210628_1000,a3an30lg,4,8,p,p
20210628_1000,zw36ul8j,4,8,p,q
20210628_1000,qfx1xiey,4,18,p,q
20210628_1000,l83ddudz,4,14,q,q
20210628_1000,amoaaj9x,4,15,q,p
20210628_1000,owzo4wwo,4,10,q,p
20210628_1000,mh9jvilu,5,13,q,p
20210628_1000,kp0napa4,5,13,q,q
20210628_1000,a3an30lg,5,5,p,p
20210628_1000,zw36ul8j,5,15,q,p
20210628_1000,qfx1xiey,5,17,p,p
20210628_1000,l83ddudz,5,19,q,p
20210628_1000,amoaaj9x,5,1,q,q
20210628_1000,owzo4wwo,5,23,p,p
20210628_1000,mh9jvilu,6,12,q,p
20210628_1000,kp0napa4,6,6,p,q
20210628_1000,a3an30lg,6,21,q,q
20210628_1000,zw36ul8j,6,21,q,q
20210628_1000,qfx1xiey,6,7,p,p
20210628_1000,l83ddudz,6,10,q,q
20210628_1000,amoaaj9x,6,7,q,q
20210628_1000,owzo4wwo,6,8,p,p
20210628_1000,mh9jvilu,7,3,p,q
20210628_1000,kp0napa4,7,14,p,q
20210628_1000,a3an30lg,7,9,p,q
20210628_1000,zw36ul8j,7,24,p,p
20210628_1000,qfx1xiey,7,23,q,q
20210628_1000,l83ddudz,7,12,q,q
20210628_1000,amoaaj9x,7,19,q,p
20210628_1000,owzo4wwo,7,17,p,p
20210628_1000,mh9jvilu,8,15,p,q
20210628_1000,kp0napa4,8,12,q,q
20210628_1000,a3an30lg,8,16,p,p
20210628_1000,zw36ul8j,8,20,q,p
20210628_1000,qfx1xiey,8,11,p,p
20210628_1000,l83ddudz,8,23,q,q
20210628_1000,amoaaj9x,8,11,p,q
20210628_1000,owzo4wwo,8,25,q,p
20210628_1000,mh9jvilu,9,6,q,q
20210628_1000,kp0napa4,9,21,p,q
20210628_1000,a3an30lg,9,24,p,p
20210628_1000,zw36ul8j,9,13,p,q
20210628_1000,qfx1xiey,9,2,q,q
20210628_1000,l83ddudz,9,6,q,q
20210628_1000,amoaaj9x,9,21,p,q
20210628_1000,owzo4wwo,9,7,q,p
20210628_1000,mh9jvilu,10,24,p,p
20210628_1000,kp0napa4,10,24,q,q
20210628_1000,a3an30lg,10,3,p,q
20210628_1000,zw36ul8j,10,1,q,p
20210628_1000,qfx1xiey,10,5,q,q
20210628_1000,l83ddudz,10,25,p,q
20210628_1000,amoaaj9x,10,20,q,p
20210628_1000,owzo4wwo,10,18,p,p
20210628_1000,mh9jvilu,11,19,q,p
20210628_1000,kp0napa4,11,10,p,q
20210628_1000,a3an30lg,11,12,p,q
20210628_1000,zw36ul8j,11,23,p,p
20210628_1000,qfx1xiey,11,25,q,p
20210628_1000,l83ddudz,11,2,q,q
20210628_1000,amoaaj9x,11,22,p,q
20210628_1000,owzo4wwo,11,24,q,p
20210628_1000,mh9jvilu,12,23,p,p
20210628_1000,kp0napa4,12,1,q,q
20210628_1000,a3an30lg,12,7,p,q
20210628_1000,zw36ul8j,12,6,p,q
20210628_1000,qfx1xiey,12,10,p,q
20210628_1000,l83ddudz,12,20,q,p
20210628_1000,amoaaj9x,12,9,p,q
20210628_1000,owzo4wwo,12,22,p,q
20210628_1000,mh9jvilu,13,11,q,q
20210628_1000,kp0napa4,13,19,p,p
20210628_1000,a3an30lg,13,19,p,p
20210628_1000,zw36ul8j,13,2,p,q
20210628_1000,qfx1xiey,13,6,p,q
20210628_1000,l83ddudz,13,17,q,p
20210628_1000,amoaaj9x,13,13,p,q
20210628_1000,owzo4wwo,13,5,p,p
20210628_1000,mh9jvilu,14,16,p,p
20210628_1000,kp0napa4,14,22,q,q
20210628_1000,a3an30lg,14,1,q,q
20210628_1000,zw36ul8j,14,22,q,q
20210628_1000,qfx1xiey,14,21,q,q
20210628_1000,l83ddudz,14,24,p,p
20210628_1000,amoaaj9x,14,5,p,q
20210628_1000,owzo4wwo,14,12,q,p
20210628_1000,mh9jvilu,15,17,q,q
20210628_1000,kp0napa4,15,8,p,p
20210628_1000,a3an30lg,15,4,p,q
20210628_1000,zw36ul8j,15,9,q,p
20210628_1000,qfx1xiey,15,9,p,p
20210628_1000,l83ddudz,15,4,q,q
20210628_1000,amoaaj9x,15,18,p,q
20210628_1000,owzo4wwo,15,14,q,p
20210628_1000,mh9jvilu,16,8,q,q
20210628_1000,kp0napa4,16,15,p,p
20210628_1000,a3an30lg,16,11,p,q
20210628_1000,zw36ul8j,16,19,q,p
20210628_1000,qfx1xiey,16,24,q,p
20210628_1000,l83ddudz,16,1,p,q
20210628_1000,amoaaj9x,16,3,p,q
20210628_1000,owzo4wwo,16,1,p,p
20210628_1000,mh9jvilu,17,20,q,p
20210628_1000,kp0napa4,17,4,q,q
20210628_1000,a3an30lg,17,15,p,p
20210628_1000,zw36ul8j,17,11,q,q
20210628_1000,qfx1xiey,17,1,q,p
20210628_1000,l83ddudz,17,22,p,q
20210628_1000,amoaaj9x,17,24,q,q
20210628_1000,owzo4wwo,17,11,p,p
20210628_1000,mh9jvilu,18,21,q,q
20210628_1000,kp0napa4,18,23,q,q
20210628_1000,a3an30lg,18,23,p,p
20210628_1000,zw36ul8j,18,17,p,p
20210628_1000,qfx1xiey,18,3,q,q
20210628_1000,l83ddudz,18,5,p,q
20210628_1000,amoaaj9x,18,16,q,q
20210628_1000,owzo4wwo,18,19,q,p
20210628_1000,mh9jvilu,19,2,p,q
20210628_1000,kp0napa4,19,17,p,p
20210628_1000,a3an30lg,19,13,p,p
20210628_1000,zw36ul8j,19,3,p,q
20210628_1000,qfx1xiey,19,13,q,q
20210628_1000,l83ddudz,19,7,q,q
20210628_1000,amoaaj9x,19,23,p,q
20210628_1000,owzo4wwo,19,15,p,p
20210628_1000,mh9jvilu,20,9,q,p
20210628_1000,kp0napa4,20,5,p,p
20210628_1000,a3an30lg,20,25,p,p
20210628_1000,zw36ul8j,20,7,p,q
20210628_1000,qfx1xiey,20,22,q,q
20210628_1000,l83ddudz,20,9,p,q
20210628_1000,amoaaj9x,20,17,q,q
20210628_1000,owzo4wwo,20,16,p,p
20210628_1000,mh9jvilu,21,7,p,q
20210628_1000,kp0napa4,21,16,q,p
20210628_1000,a3an30lg,21,6,q,p
20210628_1000,zw36ul8j,21,5,p,q
20210628_1000,qfx1xiey,21,12,q,q
20210628_1000,l83ddudz,21,3,p,q
20210628_1000,amoaaj9x,21,10,p,q
20210628_1000,owzo4wwo,21,21,q,q
20210628_1000,mh9jvilu,22,1,p,p
20210628_1000,kp0napa4,22,9,p,p
20210628_1000,a3an30lg,22,2,q,p
20210628_1000,zw36ul8j,22,25,q,p
20210628_1000,qfx1xiey,22,16,q,p
20210628_1000,l83ddudz,22,11,p,q
20210628_1000,amoaaj9x,22,6,q,q
20210628_1000,owzo4wwo,22,9,q,p
20210628_1000,mh9jvilu,23,18,p,p
20210628_1000,kp0napa4,23,11,p,q
20210628_1000,a3an30lg,23,18,q,p
20210628_1000,zw36ul8j,23,14,q,q
20210628_1000,qfx1xiey,23,19,p,p
20210628_1000,l83ddudz,23,21,q,q
20210628_1000,amoaaj9x,23,14,p,q
20210628_1000,owzo4wwo,23,4,q,p
20210628_1000,mh9jvilu,24,5,p,q
20210628_1000,kp0napa4,24,20,q,p
20210628_1000,a3an30lg,24,22,q,q
20210628_1000,zw36ul8j,24,4,q,q
