reporting_airport,iata_code,icao_code
ABERDEEN,ABZ,EGPD
BELFAST CITY (GEORGE BEST),BHD,EGAC
BELFAST INTERNATIONAL,BFS,EGAA
BIRMINGHAM,BHX,EGBB
BRISTOL,BRS,EGGD
CARDIFF WALES,CWL,EGFF
EAST MIDLANDS INTERNATIONAL,EMA,EGNX
EDINBURGH,EDI,EGPH
EXETER,EXT,EGTE
GLASGOW,GLA,EGPF
ISLE OF MAN,IOM,EGNS
JERSEY,JER,EGJJ
LEEDS BRADFORD,LBA,EGNM
LIVERPOOL (JOHN LENNON),LPL,EGGP
GATWICK,LGW,EGKK
HEATHROW,LHR,EGLL
LONDON CITY,LCY,EGLC
LUTON,LTN,EGGW
STANSTED,STN,EGSS
MANCHESTER,MAN,EGCC
NEWCASTLE,NCL,EGNT
NEWCASTLE (AUSTRALIA),NTL,YWLM
NEWCASTLE (REP OF IRELAND),,EINC
NEWCASTLE (SOUTH AFRICA),NCS,FANC
"NEW CASTLE (PENNSYLVANIA, USA)",,KUCP
SOUTHAMPTON,SOU,EGHI
SOUTHEND,SEN,EGMC
TEESSIDE INTERNATIONAL AIRPORT,MME,ENGV
