run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_more_than_30_minutes_late_percent
14/08/2025 16:05,202506,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,15,6.666667,53.333333,6.666667,6.666667,26.666666
14/08/2025 16:05,202506,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,15,0,33.333333,33.333333,6.666667,26.666666
14/08/2025 16:05,202506,ABERDEEN,POLAND,KRAKOW,RYANAIR,A,S,8,12.5,50,37.5,0,0
14/08/2025 16:05,202506,ABERDEEN,POLAND,KRAKOW,RYANAIR,D,S,8,0,50,50,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,26,50,34.615385,15.384615,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,26,11.538462,73.076923,15.384615,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,69,7.142857,35.714286,31.428571,8.571429,15.714285
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,71,1.408451,61.971831,28.169014,1.408451,7.042254
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,21,33.333333,38.095238,14.285714,4.761905,9.52381
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,D,S,22,0,40.909091,36.363636,13.636364,9.090909
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,D,S,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,A,S,21,0,30.769231,34.615385,15.384615,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,C,1,0,0,0,0,100
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,D,S,22,4.545455,63.636364,18.181818,4.545455,9.09091
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,A,S,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,D,S,0,0,0,0,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,INVERNESS,LOGANAIR LTD,D,S,1,0,50,0,0,0
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,A,S,71,18.309859,47.887324,12.676056,5.633803,15.492957
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,D,S,70,8.571429,50,28.571429,2.857143,10
14/08/2025 16:05,202506,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,A,S,60,10,43.333333,30,5,11.666667
