sessionid,treatmentnumber,subjects,period,subject,group,profit,numberingroup,comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,linear0,linear1,linear2,linear3,linear4,linear5,linear6,linear7,linear8,linear9,linear10,linear11,linear12,linear13,linear14,linear15,linear16,linear17,linear18,linear19,linear20,subs0,subs1,subs2,subs3,subs4,subs5,subs6,subs7,subs8,subs9,subs10,subs11,subs12,subs13,subs14,subs15,subs16,subs17,subs18,subs19,subs20,inter0,inter1,inter2,inter3,inter4,inter5,inter6,inter7,inter8,inter9,inter10,inter11,inter12,inter13,inter14,inter15,inter16,inter17,inter18,inter19,inter20,dicethrower,ulinear,ucomp,usubs,uinter,timeokcontrolquestion1ok,timeokcontrolquestion1bok,timeokcontrolquestion2ok,timeokcontrolquestion3ok,timecontinuetothenextquestionpra,timecontinuepractice1ok,timecontinuelinearinstructionsbu,timeconfirmlinearuok,timeconfirmlinearcondok,timecontinuelinearcondok,timecontinuecomplementsinstructi,timeconfirmcompuok,timeconfirmcompcondok,timecontinuecompcondok,timecontinueinteriorinstructions,timeconfirminteruok,timeconfirmintercondok,timecontinueintercondok,timecontinuesubstitutesinstructi,timeconfirmsubsuok,timeconfirmsubscondok,timecontinuesubscondok,timeokpayoffselectionok,condchooser,otheru,condu,relevantu,u,g,profitprivate,profitpublic,timecontinueshowprofitnormalok,timecontinueshowprofitcondok,session,interiorfirst,subsfirst,max_linear,max_comp,max_inter,min_inter,max_subs,timecontrolquestions
160412_1143,1,subjects,1,1,1,19.719999,1,0,0,2,4,6,7,7,7,9,9,10,10,11,11,12,13,16,17,18,18,19,2,2,2,3,3,3,4,4,4,5,6,6,7,7,7,8,8,9,9,9,10,3,3,3,3,3,3,6,6,7,8,10,11,12,12,13,18,18,18,19,19,19,4,4,4,6,6,7,8,8,9,10,10,12,12,13,14,14,15,15,16,16,16,0,9,15,18,13,16,23,14,-1,16,11,41,13,-323,25,19,-6,-100,26,42,13,-90,29,38,-38,-81,29,99999,1,5,7,7,15,22,10.92,8.8000002,0,99999,1,0,0,10,19,16,4,19,68
160412_1143,1,subjects,1,2,1,18.26,2,18,17,15,14,12,12,12,12,11,9,8,8,7,7,5,4,4,6,5,5,5,8,6,6,9,11,11,10,10,10,11,11,11,13,13,13,8,8,8,8,8,8,16,16,16,15,15,14,13,13,12,10,10,11,8,7,7,5,4,4,4,3,3,16,14,13,13,12,12,9,8,7,7,6,6,4,4,4,3,3,3,2,2,3,0,8,9,14,10,13,15,-129,-32,-20,-25,39,9,-328,17,20,-35,-118,25,41,1,-82,27,39,11,-75,27,0,0,7,12,9,9,22,9.46,8.8000002,99999,0,1,0,0,13,18,16,2,16,253
160412_1143,1,subjects,1,3,1,19.4,3,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,0,0,0,0,0,1,2,3,4,5,6,8,8,8,8,8,8,8,8,8,8,11,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,5,5,5,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,9,9,21,16,8,19,5,-4,39,18,-103,23,10,-48,-49,28,41,20,-23,26,40,-6,-45,23,0,0,10,9,0,0,22,10.6,8.8000002,99999,0,1,0,0,8,13,9,9,11,56
160412_1143,1,subjects,1,4,1,19.299999,4,8,8,8,9,9,9,8,8,8,9,8,7,7,9,8,8,8,8,9,10,9,7,7,7,9,9,9,10,10,10,9,9,9,8,8,8,10,9,8,6,6,6,8,8,8,9,8,7,8,8,7,7,7,7,7,7,7,8,8,8,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,7,7,7,8,8,8,8,8,8,0,8,6,8,8,15,24,-125,-31,-34,-40,39,6,-318,27,21,0,-129,22,42,24,-44,28,28,18,-46,28,0,0,8,8,6,6,22,10.5,8.8000002,99999,0,1,0,0,10,10,9,7,9,237
160412_1143,1,subjects,1,5,2,22.98,1,5,6,9,8,6,5,7,8,8,13,12,13,14,14,13,10,10,10,10,12,11,6,9,5,9,6,7,9,9,5,0,7,0,9,4,2,4,8,12,7,10,1,9,9,6,12,7,9,9,9,8,14,9,6,12,5,11,7,9,9,7,7,10,8,9,8,8,11,7,4,8,6,12,8,11,8,9,8,6,10,8,10,10,10,0,5,7,9,12,13,14,-16,-35,5,-3,38,3,-113,28,20,16,-112,20,42,17,-72,-23,42,17,-12,27,0,1,9.333333,13,13,7,41,6.5799999,16.4,0,99999,1,0,0,12,14,12,4,14,144
160412_1143,1,subjects,1,6,2,25.879999,2,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,10,11,12,10,11,12,10,10,10,19,18,19,2,1,1,20,20,20,0,0,0,9,9,8,8,8,7,7,7,6,6,6,5,5,5,4,4,4,3,3,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,12,8,7,7,-32,21,-113,-9,8,3,40,-53,-400,-31,-2,-70,-195,28,44,-11,-219,7,43,-70,-56,29,0,0,9,8,8,8,41,9.4799995,16.4,99999,0,1,0,0,20,11,7,7,9,253
160412_1143,1,subjects,1,7,2,25.1,3,2,3,4,4,5,6,5,6,7,7,8,9,8,10,12,12,14,15,16,18,19,20,17,16,9,11,12,12,13,14,10,11,12,11,13,15,11,13,14,19,19,19,13,13,13,14,14,14,15,15,15,16,16,16,17,18,18,19,20,20,20,20,20,8,9,10,11,12,13,14,15,16,16,17,17,17,18,18,18,18,19,19,20,20,0,2,10,13,8,-3,6,-69,-146,0,-10,-1,-34,-454,14,22,-25,-35,21,39,-40,-46,20,12,-14,-14,28,0,0,8.333333,7,10,10,41,8.6999998,16.4,99999,0,1,0,0,20,19,20,8,20,332
160412_1143,1,subjects,1,8,2,25.1,4,10,10,10,9,9,9,8,8,8,7,8,8,9,9,9,11,10,10,11,11,11,7,7,7,7,7,7,7,7,8,9,10,11,8,7,6,5,5,5,3,3,3,13,13,13,13,13,13,7,7,13,11,10,10,13,14,8,13,13,12,0,0,0,9,9,9,11,11,11,10,10,10,11,11,11,7,7,7,14,12,15,0,0,1,0,8,10,18,10,19,25,-27,22,7,1,42,7,-98,23,26,-6,-68,25,41,18,-56,27,40,-3,-60,26,0,0,8.333333,8,10,10,41,8.6999998,16.4,99999,0,1,0,0,11,11,15,0,14,81
160412_1143,1,subjects,1,9,3,23.9,1,0,0,0,0,2,3,6,7,8,9,10,11,12,12,12,15,17,18,18,20,20,0,0,0,0,0,0,0,0,5,5,10,11,12,13,14,15,15,15,20,20,20,2,2,2,1,1,1,6,7,8,9,10,11,12,13,14,0,0,17,20,20,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,20,20,20,20,0,7,10,12,7,8,19,-1,-34,-36,-42,39,-17,-222,9,34,-5,-205,5,39,-46,-108,25,40,-14,-170,-50,0,1,9.666667,10,10,10,39,8.3000002,15.6,0,99999,1,0,0,20,20,20,0,20,128
160412_1143,1,subjects,1,10,3,25.26,2,2,1,0,4,4,4,2,2,2,1,0,3,4,5,6,7,6,5,20,19,19,3,2,0,4,5,6,5,6,7,8,9,12,12,13,14,1,2,2,20,19,18,0,1,2,5,4,3,10,5,0,2,6,9,6,12,6,19,16,14,4,4,4,0,0,3,3,4,5,5,6,7,2,2,2,1,2,4,4,8,12,19,10,1,0,6,6,6,4,-36,16,-75,-20,-25,-45,38,-6,-201,22,20,-94,-67,-1,39,-13,-37,21,40,23,-43,27,0,0,11,3,6,6,39,9.6599998,15.6,99999,0,1,0,0,20,20,19,0,19,235
