country_code,year,gov_expenditure
ALB,1997,30.299864
ALB,1998,36.751297
ALB,1999,37.107502
ALB,2000,33.837997
ALB,2001,32.68501
ALB,2002,31.534586
ALB,2003,29.679964
ALB,2004,30.154812
ALB,2005,28.891996
ALB,2006,29.191216
ALB,2007,29.309013
ALB,2008,31.726484
ALB,2009,32.679478
ALB,2010,29.386648
ALB,2011,28.92327
ALB,2012,28.229103
ALB,2013,29.192713
ALB,2014,31.729155
ALB,2015,30.757805
ALB,2016,29.139475
ALB,2017,29.16157
ALB,2018,29.076872
ALB,2019,29.075409
ALB,2020,32.552483
ALB,2021,32.11868
ALB,2022,30.4449
DZA,1990,25.25974
DZA,1991,29.940891
DZA,1992,30.61557
DZA,1993,35.3598
DZA,1994,33.58565
DZA,1995,31.376217
DZA,1996,29.178988
DZA,1997,30.952522
DZA,1998,31.183462
DZA,1999,31.93525
DZA,2000,28.599611
DZA,2001,31.57032
DZA,2002,35.215996
DZA,2003,29.263103
DZA,2004,29.170269
DZA,2005,28.881565
DZA,2006,29.279236
DZA,2007,34.949146
DZA,2008,39.353203
DZA,2009,43.945606
DZA,2010,38.69797
DZA,2011,41.17396
DZA,2012,43.494144
DZA,2013,36.648827
DZA,2014,41.290306
DZA,2015,46.22167
DZA,2016,41.995342
DZA,2017,41.11914
DZA,2018,40.32091
DZA,2019,41.785973
DZA,2020,42.428474
DZA,2021,37.077164
DZA,2022,37.04955
AGO,1996,33.19659
AGO,1997,35.18621
AGO,1998,34.33862
AGO,1999,51.77244
AGO,2000,40.568333
AGO,2001,34.286877
AGO,2002,31.223003
AGO,2003,34.399914
AGO,2004,29.803171
AGO,2005,26.526752
AGO,2006,30.603943
AGO,2007,38.12854
AGO,2008,52.666008
AGO,2009,45.00705
AGO,2010,39.39449
AGO,2011,37.40185
AGO,2012,37.208874
AGO,2013,37.049583
AGO,2014,36.456764
AGO,2015,27.051105
AGO,2016,22.043144
AGO,2017,24.102783
AGO,2018,20.57876
AGO,2019,20.402985
AGO,2020,23.276728
AGO,2021,19.476578
AGO,2022,22.5434
ATG,1990,18.887205
ATG,1991,21.73569
ATG,1992,19.65525
ATG,1993,20.533207
ATG,1994,22.432379
ATG,1995,22.395031
ATG,1996,20.972961
ATG,1997,18.081457
ATG,1998,22.417837
ATG,1999,22.140015
ATG,2000,22.997046
ATG,2001,26.517958
ATG,2002,29.037
ATG,2003,26.845808
ATG,2004,24.471828
ATG,2005,24.087124
ATG,2006,29.310541
ATG,2007,26.987541
ATG,2008,26.385895
ATG,2009,36.2091
ATG,2010,22.563421
ATG,2011,23.860733
ATG,2012,21.076786
ATG,2013,23.222914
ATG,2014,23.009869
ATG,2015,26.704124
ATG,2016,24.657827
ATG,2017,23.577385
ATG,2018,22.300604
ATG,2019,22.782688
ATG,2020,25.890661
ATG,2021,24.009335
ATG,2022,23.884726
ARG,1864,2.8309
ARG,1865,3.50673
ARG,1866,4.93219
ARG,1867,5.91977
ARG,1868,7.19086
ARG,1869,6.72442
ARG,1870,8.55703
ARG,1871,9.59289
ARG,1872,8.60308
ARG,1873,9.17462
ARG,1874,8.90755
ARG,1875,9.95568
ARG,1876,8.62453
ARG,1877,5.581
ARG,1878,6.2327
ARG,1879,7.60541
ARG,1880,8.03725
ARG,1881,8.70619
ARG,1882,11.0194
ARG,1883,10.5513
ARG,1884,10.5266
ARG,1885,8.62224
ARG,1886,9.25764
ARG,1887,7.2597
ARG,1888,7.24074
ARG,1889,12.6066
ARG,1890,7.72925
ARG,1891,10.6963
ARG,1892,8.51234
ARG,1893,7.42116
ARG,1894,7.24206
ARG,1895,7.39053
ARG,1896,8.99936
ARG,1897,9.2607
ARG,1898,16.5616
ARG,1899,8.5667
ARG,1900,8.25302
ARG,1901,8.0013
ARG,1902,9.41239
ARG,1903,7.5143
ARG,1904,7.53021
ARG,1905,10.2202
ARG,1906,7.1783
ARG,1907,7.23804
ARG,1908,6.38883
ARG,1909,9.41996
ARG,1910,8.9189
ARG,1911,9.03057
ARG,1912,7.64341
ARG,1913,7.47126
ARG,1914,8.64302
ARG,1915,7.41933
ARG,1916,6.6579
ARG,1917,6.26142
ARG,1918,4.82945
ARG,1919,4.81985
ARG,1920,4.61587
ARG,1921,6.13217
ARG,1922,7.10542
ARG,1923,6.54041
ARG,1924,6.15383
ARG,1925,6.61198
ARG,1926,7.03799
ARG,1927,9.38856
ARG,1928,7.76711
ARG,1929,8.01251
ARG,1930,9.39853
ARG,1931,9.91965
ARG,1932,9.37126
ARG,1933,8.87369
ARG,1934,8.58386
ARG,1935,8.46368
ARG,1936,8.53147
ARG,1937,8.60894
ARG,1938,9.27249
ARG,1939,10.0371
ARG,1940,8.80091
ARG,1941,8.49654
ARG,1942,8.37876
ARG,1943,9.18292
ARG,1944,11.0057
ARG,1945,11.3986
ARG,1946,9.89264
ARG,1947,9.31709
ARG,1948,12.8943
ARG,1949,11.816
ARG,1950,11.1998
ARG,1951,11.9804
ARG,1952,11.8937
ARG,1953,11.0372
ARG,1954,10.9747
ARG,1955,10.2167
ARG,1956,10.0611
ARG,1957,8.4185
ARG,1958,13.198
ARG,1959,13.6234
ARG,1960,11.3048
ARG,1961,12.2502
ARG,1962,11.3456
ARG,1963,11.1819
ARG,1964,11.7759
ARG,1965,11.612
ARG,1966,12.1185
ARG,1967,12.96
ARG,1968,12.8016
ARG,1969,12.2633
ARG,1970,12.0469
ARG,1971,11.7246
ARG,1972,11.1593
ARG,1973,12.5871
ARG,1974,14.0412
ARG,1975,12.507
ARG,1976,13.0195
ARG,1977,12.5925
ARG,1978,14.8525
ARG,1979,14.4999
ARG,1980,15.174
ARG,1981,17.0253
ARG,1982,15.8724
ARG,1983,14.1823
ARG,1984,13.0395
ARG,1985,14.7474
ARG,1986,13.6855
ARG,1987,13.7269
ARG,1988,12.3347
ARG,1989,11.0132
ARG,1990,10.9903
ARG,1991,11.4322
ARG,1992,12.0994
ARG,1993,13.3105
ARG,1994,14.1744
ARG,1995,14.3942
ARG,1996,14.11
ARG,1997,22.585798
ARG,1998,23.13041
ARG,1999,25.471287
ARG,2000,25.247238
ARG,2001,26.432499
ARG,2002,21.853054
ARG,2003,22.025888
ARG,2004,23.029531
ARG,2005,24.42556
ARG,2006,26.616661
ARG,2007,29.550589
ARG,2008,30.762348
ARG,2009,34.524437
ARG,2010,33.35807
ARG,2011,34.9019
ARG,2012,36.821423
ARG,2013,37.602932
ARG,2014,38.852932
ARG,2015,41.36633
ARG,2016,41.522022
ARG,2017,41.121452
ARG,2018,38.949207
ARG,2019,37.702663
ARG,2020,42.059376
ARG,2021,37.779438
ARG,2022,37.275066
ABW,1995,26.328434
ABW,1996,27.45766
ABW,1997,24.989851
ABW,1998,21.5736
ABW,1999,22.798357
ABW,2000,21.605566
ABW,2001,22.508322
ABW,2002,24.659863
ABW,2003,25.13569
ABW,2004,29.244513
ABW,2005,24.47694
ABW,2006,24.82693
ABW,2007,22.6198
ABW,2008,25.359396
ABW,2009,26.887785
ABW,2010,30.44339
ABW,2011,27.199272
ABW,2012,30.761206
ABW,2013,29.454103
ABW,2014,29.834135
ABW,2015,25.373283
ABW,2016,25.119034
ABW,2017,24.558315
ABW,2018,24.862757
ABW,2019,23.687828
ABW,2020,40.23676
ABW,2021,28.858843
ABW,2022,21.678768
AUS,1901,1.16945
AUS,1902,2.54504
AUS,1903,2.8271
AUS,1904,2.58929
AUS,1905,2.59009
AUS,1906,2.48434
AUS,1907,2.37477
AUS,1908,2.76119
AUS,1909,2.42583
AUS,1910,2.66453
AUS,1911,2.67544
AUS,1912,2.87466
AUS,1913,2.74314
AUS,1914,2.83565
AUS,1915,4.80907
AUS,1916,6.97626
AUS,1917,8.61057
AUS,1918,8.59699
AUS,1919,9.43231
AUS,1920,7.69353
AUS,1921,6.63531
AUS,1922,5.58781
AUS,1923,4.63576
AUS,1924,4.83748
AUS,1925,4.32056
AUS,1926,4.88849
