country_code,year,social
AUS,1880,0
AUS,1890,0
AUS,1900,0
AUS,1910,1.12
AUS,1920,1.66
AUS,1930,2.11
AUS,1960,5.93012553
AUS,1961,6.333481916
AUS,1962,6.285261018
AUS,1963,6.199258799
AUS,1964,5.976754619
AUS,1965,6.059972782
AUS,1966,5.921643458
AUS,1967,5.652750976
AUS,1968,5.676263156
AUS,1969,5.849024071
AUS,1970,5.914159614
AUS,1971,6.211192705
AUS,1972,6.638595805
AUS,1973,7.012542058
AUS,1974,8.39848658
AUS,1975,10.15894538
AUS,1976,10.59740856
AUS,1977,10.9222346
AUS,1978,10.6378896
AUS,1979,10.29641421
AUS,1980,10.268
AUS,1985,12.088
AUS,1990,13.131
AUS,1995,16.871
AUS,2000,18.242
AUS,2005,16.681
AUS,2010,16.706
AUS,2013,18.109
AUS,2014,18.697
AUS,2015,18.794
AUS,2016,19.146
AUT,1880,0
AUT,1890,0
AUT,1900,0
AUT,1910,0
AUT,1920,0
AUT,1930,1.2
AUT,1960,14.99186298
AUT,1961,14.99976284
AUT,1962,15.90124034
AUT,1963,16.29504608
AUT,1964,16.2562269
AUT,1965,16.46515979
AUT,1966,16.70533011
AUT,1967,17.5085993
AUT,1968,17.04526279
AUT,1969,17.88484547
AUT,1970,17.84083333
AUT,1971,17.98526652
AUT,1972,17.83411503
AUT,1973,17.67992692
AUT,1974,18.13958036
AUT,1975,19.78976937
AUT,1976,20.49304033
AUT,1977,20.49407434
AUT,1978,22.12682645
AUT,1979,22.07379021
AUT,1980,21.959
AUT,1985,23.261
AUT,1990,23.205
AUT,1995,25.998
AUT,2000,25.487
AUT,2005,25.936
AUT,2010,27.577
AUT,2013,27.559
AUT,2014,27.854
AUT,2015,28.03
AUT,2016,27.786
BEL,1880,0.17
BEL,1890,0.22
BEL,1900,0.26
BEL,1910,0.43
BEL,1920,0.52
BEL,1930,0.56
BEL,1960,10.02010637
BEL,1961,10.48927026
BEL,1962,10.99132453
BEL,1963,11.41547067
BEL,1964,11.42834488
BEL,1965,12.24171024
BEL,1966,12.98460026
BEL,1967,13.38371551
BEL,1968,14.40560157
BEL,1969,14.41783948
BEL,1970,14.68352941
BEL,1971,14.96647344
BEL,1972,15.86459354
BEL,1973,16.28269833
BEL,1974,16.89191045
BEL,1975,20.39080258
BEL,1976,21.38051374
BEL,1977,22.55010485
BEL,1978,22.81756082
BEL,1979,23.00717358
BEL,1980,23.079
BEL,1985,25.552
BEL,1990,24.417
BEL,1995,25.169
BEL,2000,23.5
BEL,2005,25.27
BEL,2010,28.302
BEL,2013,29.324
BEL,2014,29.174
BEL,2015,29.17
BEL,2016,29.005
CAN,1880,0
CAN,1890,0
CAN,1900,0
CAN,1910,0
CAN,1920,0.06
CAN,1930,0.31
CAN,1960,8.117736532
CAN,1961,8.396542221
CAN,1962,8.357319358
CAN,1963,8.290315209
CAN,1964,8.196586418
CAN,1965,7.937770546
CAN,1966,8.075592063
CAN,1967,8.829456762
CAN,1968,9.369240535
CAN,1969,9.720853383
CAN,1970,10.48436839
CAN,1971,11.36838633
CAN,1972,12.12909131
CAN,1973,12.14316779
CAN,1974,12.53374604
CAN,1975,13.67648823
CAN,1976,13.37451818
CAN,1977,13.595433
CAN,1978,13.39408899
CAN,1979,12.90118654
CAN,1980,13.306
CAN,1985,16.418
CAN,1990,17.546
CAN,1995,18.354
CAN,2000,15.763
CAN,2005,16.138
CAN,2010,17.547
CAN,2013,16.878
CAN,2014,16.818
CAN,2015,17.213
CHL,1990,9.83
CHL,1995,11.014
CHL,2000,12.737
CHL,2005,8.692
CHL,2010,10.466
CHL,2013,10.002
CHL,2014,10.52
CHL,2015,11.18
CZE,1990,14.169
CZE,1995,16.129
CZE,2000,17.962
CZE,2005,18.112
CZE,2010,19.766
CZE,2013,20.261
CZE,2014,19.897
CZE,2015,19.475
CZE,2016,19.437
DNK,1880,0.96
DNK,1890,1.11
DNK,1900,1.41
DNK,1910,1.75
DNK,1920,2.71
DNK,1930,3.11
DNK,1960,9.46270583
DNK,1970,14.76521717
DNK,1971,15.53662405
DNK,1972,15.66169698
DNK,1973,15.56647099
DNK,1974,17.52376389
DNK,1975,18.72106353
DNK,1976,18.01916598
DNK,1977,18.35230368
DNK,1978,19.23045696
DNK,1979,19.7745319
DNK,1980,20.334
DNK,1985,19.294
DNK,1990,21.973
DNK,1995,25.513
DNK,2000,23.765
DNK,2005,25.186
DNK,2010,28.941
DNK,2013,29.017
DNK,2014,29.001
DNK,2015,28.814
DNK,2016,28.677
EST,2000,13.816
EST,2005,12.97
EST,2010,18.321
EST,2013,15.871
EST,2014,15.977
