Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,Estimates Start After
Austria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2021",344.269,351.118,359.544,368.82,374.053,349.401,2019
Austria,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2021",344.269,357.608,369.341,385.362,397.575,375.562,2019
Austria,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",100,101.848,102.725,104.485,106.289,107.487,2019
Austria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2021,5.742,6.042,5.533,4.892,4.525,5.333,2019
Belgium,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 03/2021",416.701,421.98,428.766,436.537,444.149,415.615,2020
Belgium,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 03/2021",416.702,430.085,444.991,460.419,476.204,449.571,2020
Belgium,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",100,101.921,103.784,105.471,107.217,108.17,2020
Belgium,Unemployment rate,Percent of total labor force,,Source: Central Bank. Some indicators have been affected by the benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2021,8.483,7.842,7.117,5.958,5.358,5.608,2019
Cyprus,"Gross domestic product, constant prices",National currency,Billions,"Source: Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2021",17.817,18.964,19.942,20.987,21.632,20.528,2020
Cyprus,"Gross domestic product, current prices",National currency,Billions,"Source: Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2021",17.884,18.929,20.12,21.433,22.287,21,2020
Cyprus,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",100.375,99.816,100.894,102.124,103.026,102.301,2020
Cyprus,Unemployment rate,Percent of total labor force,,"Source: Eurostat, Labor force survey. Latest actual data: 2020 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 03/2021",14.9,12.95,11.05,8.35,7.075,7.6,2020
