session_id,participant_id,gender,age,countryborn,countrynow,department,degree,timeuea
o4cfc4sd,giaw6638,M,25,India,United Kingdom,MED,MA/MSc,5th+
o4cfc4sd,ty10jr1q,F,20,United Kingdom,United Kingdom,DEV,BSc,2nd
o4cfc4sd,yrmtcn62,M,21,Brunei,United Kingdom,ECO,BSc,3rd
o4cfc4sd,duxn23dk,F,21,United Kingdom,United Kingdom,PHA,MA/MSc,2nd
f3j5v0lq,mh9jvilu,F,23,United Kingdom,United Kingdom,,Other,5th+
f3j5v0lq,kp0napa4,M,48,United Kingdom,United Kingdom,AMA,BSc,2nd
f3j5v0lq,a3an30lg,F,19,United Kingdom,United Kingdom,ECO,BSc,1st
f3j5v0lq,zw36ul8j,M,40,United Kingdom,United Kingdom,PPL,BSc,3rd
f3j5v0lq,qfx1xiey,F,20,United Kingdom,United Kingdom,PSY,BSc,3rd
f3j5v0lq,l83ddudz,F,21,France,United Kingdom,PHA,BSc,3rd
f3j5v0lq,amoaaj9x,M,25,United Kingdom,United Kingdom,MED,BSc,5th+
f3j5v0lq,owzo4wwo,F,23,Vietnam,Vietnam,ECO,BSc,3rd
eo1ctlgp,wh3zb82m,M,44,Syria,Syria,PPL,PhD,1st
eo1ctlgp,8w3btk72,M,21,United Kingdom,United Kingdom,DEV,BSc,3rd
eo1ctlgp,oumpjj89,F,21,United Kingdom,United Kingdom,NBS,BSc,3rd
eo1ctlgp,x73zfae3,F,21,United Kingdom,United Kingdom,PSY,BSc,3rd
eo1ctlgp,55tkeh2g,M,20,United Kingdom,United Kingdom,HIS,BSc,2nd
eo1ctlgp,owuewxi2,F,23,Hong Kong,United Kingdom,PHA,PGDip,5th+
eo1ctlgp,sbmkh1vf,M,21,United Kingdom,United Kingdom,ENV,BSc,3rd
eo1ctlgp,lm9eu726,M,20,United Kingdom,United Kingdom,ECO,BSc,1st
eo1ctlgp,yfmyonpn,M,21,United Kingdom,United Kingdom,NBS,BSc,3rd
eo1ctlgp,bwjrzusv,F,20,United Kingdom,United Kingdom,NBS,BSc,2nd
rfkt73rj,cpgmvfnm,F,20,United Kingdom,United Kingdom,ECO,BSc,1st
rfkt73rj,o9o05hu1,F,25,India,India,AMA,BSc,2nd
rfkt73rj,h8m28kat,F,20,Nigeria,Nigeria,NBS,BSc,2nd
rfkt73rj,5sc4ncpy,F,20,United Kingdom,United Kingdom,ECO,BSc,2nd
rfkt73rj,xio1kk58,F,20,Nigeria,United Kingdom,BIO,BSc,3rd
rfkt73rj,twsriyk7,M,28,United States,United Kingdom,SWK,MA/MSc,2nd
rfkt73rj,nnri11b7,M,23,Philippines,United Kingdom,CMP,BSc,4th
rfkt73rj,yjzfuu2h,O,28,Japan,United Kingdom,PPL,PhD,2nd
rfkt73rj,3n62rgd0,M,18,United Kingdom,United Kingdom,ECO,BSc,1st
rfkt73rj,9f99a2hb,F,24,United Kingdom,United Kingdom,MED,BSc,5th+
de2jd5zj,zu809ozq,M,19,China,China,NBS,BSc,2nd
de2jd5zj,ji7tr1ce,,20,Sweden,United Kingdom,,Staff,2nd
de2jd5zj,mcywebaj,M,19,United Kingdom,United Kingdom,ECO,BSc,1st
de2jd5zj,mffpnq55,F,21,United Kingdom,United Kingdom,ENV,BSc,3rd
de2jd5zj,qhbw7gan,M,23,United Kingdom,United Kingdom,HIS,MA/MSc,5th+
de2jd5zj,gw7ncvdt,F,22,Malaysia,United Kingdom,AMA,BSc,3rd
de2jd5zj,djzpq5f3,F,19,Nigeria,United Kingdom,PPL,BSc,1st
5sgm29h0,8hdqutwb,F,24,United Kingdom,United Kingdom,MED,BSc,5th+
5sgm29h0,3zofwepw,F,20,Cyprus,Cyprus,CHE,BSc,3rd
5sgm29h0,72xz8gcz,F,24,United Kingdom,United Kingdom,MED,BSc,5th+
