participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.gender,player.age,player.countryborn,player.countrynow,player.department,player.degree,player.timeuea,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lualaqid,,0,61,61,endpage,EarningsPage,2021-10-11 09:12:28.818694+00:00,1,,,27.00,1,2,20,England,England,MED,2,3,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
2,icuf6r3i,,0,61,61,endpage,EarningsPage,2021-10-11 09:12:36.924699+00:00,1,,,7.00,2,1,19,england,england,ECO,2,1,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
3,6q4v8zwn,,0,61,61,endpage,EarningsPage,2021-10-11 09:12:44.563118+00:00,1,,,7.00,3,2,22,United Kingdom (England),United Kingdom (England),PPL,2,2,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
4,91o7t87s,,0,61,61,endpage,EarningsPage,2021-10-11 09:12:58.418346+00:00,1,,,17.00,4,1,20,UK,UK,ENV,2,3,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
5,tw6ofzo6,,0,61,61,endpage,EarningsPage,2021-10-11 09:13:12.317812+00:00,1,,,25.00,5,2,20,Spain,Spain,BIO,2,1,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
6,rz20kdvj,,0,61,61,endpage,EarningsPage,2021-10-11 09:14:25.949537+00:00,1,,,27.00,6,2,19,England,UK,LAW,2,2,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
7,gz2c6vox,,0,61,61,endpage,EarningsPage,2021-10-11 09:13:28.630294+00:00,1,,,17.00,7,2,23,United Kingdom,United Kingdom,MED,2,2,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
8,86v1yyo4,,0,16,61,decisions,DecisionPage,2021-10-11 09:16:06.699015+00:00,1,,,0.00,8,,,,,,,,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
9,l7ug7tze,,0,16,61,decisions,DecisionPage,2021-10-11 09:16:06.849576+00:00,1,,,0.00,9,,,,,,,,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
10,s2ooxzx9,,0,16,61,decisions,DecisionPage,2021-10-11 09:16:06.915517+00:00,1,,,0.00,10,,,,,,,,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
11,26jj6z5e,,0,16,61,decisions,DecisionPage,2021-10-11 09:16:06.992887+00:00,1,,,0.00,11,,,,,,,,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
12,w1t9pfzc,,0,16,61,decisions,DecisionPage,2021-10-11 09:16:07.048503+00:00,1,,,0.00,12,,,,,,,,0.00,1,1,sx6fgj9f,20211011_1000,,,,0
1,fkt0idrw,,0,61,61,endpage,EarningsPage,2021-10-11 11:20:37.088920+00:00,1,,,5.00,1,2,18,UK,UK,BSc Psychology,2,1,0.00,1,1,baxe0zuf,20211011_1200,,,,0
2,4nfjsw26,,0,61,61,endpage,EarningsPage,2021-10-11 11:20:46.812635+00:00,1,,,6.00,2,2,21,cyprus,UK,MED,2,3,0.00,1,1,baxe0zuf,20211011_1200,,,,0
3,8146ibpz,,0,61,61,endpage,EarningsPage,2021-10-11 11:21:04.949319+00:00,1,,,7.00,3,2,21,UK,UK,LDC,2,4,0.00,1,1,baxe0zuf,20211011_1200,,,,0
4,oa9qe2uy,,0,61,61,endpage,EarningsPage,2021-10-11 11:21:06.573745+00:00,1,,,6.00,4,2,19,USA,Egypt,PPL,2,2,0.00,1,1,baxe0zuf,20211011_1200,,,,0
5,al37f6iv,,0,61,61,endpage,EarningsPage,2021-10-11 11:21:20.919150+00:00,1,,,25.00,5,2,19,United Kingdom,United Kingdom,,7,1,0.00,1,1,baxe0zuf,20211011_1200,,,,0
6,x27fok07,,0,61,61,endpage,EarningsPage,2021-10-11 11:22:26.336181+00:00,1,,,7.00,6,1,19,United Kingdom,UK,NBS,2,2,0.00,1,1,baxe0zuf,20211011_1200,,,,0
7,sh2jndtq,,0,61,61,endpage,EarningsPage,2021-10-11 11:23:28.691355+00:00,1,,,7.00,7,2,18,England,England,MED,2,1,0.00,1,1,baxe0zuf,20211011_1200,,,,0
8,mx2jjjo0,,0,61,61,endpage,EarningsPage,2021-10-11 11:21:47.951750+00:00,1,,,7.00,8,2,24,Hong Kong,UK,MED,2,1,0.00,1,1,baxe0zuf,20211011_1200,,,,0
9,r58np4zf,,0,61,61,endpage,EarningsPage,2021-10-11 11:22:12.266316+00:00,1,,,17.00,9,2,18,united kingdom,uk,BIO,2,1,0.00,1,1,baxe0zuf,20211011_1200,,,,0
10,suj4f23a,,0,61,61,endpage,EarningsPage,2021-10-11 11:22:13.393397+00:00,1,,,27.00,10,2,20,England,England,NATSci,2,2,0.00,1,1,baxe0zuf,20211011_1200,,,,0
1,igi0kjnb,,0,61,61,endpage,EarningsPage,2021-10-13 12:06:42.642790+00:00,1,,,27.00,1,2,19,England,England,BIO,4,2,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
2,1cnerogk,,0,61,61,endpage,EarningsPage,2021-10-13 12:06:56.278386+00:00,1,,,15.00,2,4,20,spain,uk,psy,1,1,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
3,5qhyejyx,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:00.690159+00:00,1,,,26.00,3,2,18,Nigeria,Nigeria,Eco,2,3,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
4,8fkffj19,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:05.848359+00:00,1,,,6.00,4,2,18,England,England,UEA,2,1,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
5,8mcbmy3x,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:15.916764+00:00,1,,,17.00,5,1,19,England,England,MTH,2,2,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
6,cv7fojrc,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:26.785313+00:00,1,,,27.00,6,1,23,United Kingdom,England,CMP,2,1,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
7,ce3ju9sq,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:39.513543+00:00,1,,,16.00,7,1,21,United Kingdom,UK,ENV,2,3,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
8,vacatglc,,0,61,61,endpage,EarningsPage,2021-10-13 12:07:39.553438+00:00,1,,,27.00,8,1,21,Latvia,Latvia,LDC,2,3,0.00,1,1,ckjh5tb4,20211013_1300,,,,0
1,41xn2qh9,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:02.707448+00:00,1,,,7.00,1,3,18,United Kingdom,United Kingdom,CMP - Computing Science,2,1,0.00,1,1,es8prm7x,20211013_1500,,,,0
2,oh2n10bg,,0,61,61,endpage,EarningsPage,2021-10-13 14:05:12.369052+00:00,1,,,7.00,2,1,19,United Kingdom,UK,PPL,2,2,0.00,1,1,es8prm7x,20211013_1500,,,,0
