treatment,session_id,participant_id,gender,age,countryborn,countrynow,department,degree,timeuea,numeracy_score
B,20210625_1400,giaw6638,M,25,India,United Kingdom,MED,MA/MSc,5th+,7
B,20210625_1400,ty10jr1q,F,20,United Kingdom,United Kingdom,DEV,BSc,2nd,7
B,20210625_1400,yrmtcn62,M,21,Brunei,United Kingdom,ECO,BSc,3rd,6
B,20210625_1400,duxn23dk,F,21,United Kingdom,United Kingdom,PHA,MA/MSc,2nd,5
E,20210628_1000,mh9jvilu,F,23,United Kingdom,United Kingdom,,Other,5th+,7
E,20210628_1000,kp0napa4,M,48,United Kingdom,United Kingdom,AMA,BSc,2nd,6
E,20210628_1000,a3an30lg,F,19,United Kingdom,United Kingdom,ECO,BSc,1st,6
E,20210628_1000,zw36ul8j,M,40,United Kingdom,United Kingdom,PPL,BSc,3rd,7
E,20210628_1000,qfx1xiey,F,20,United Kingdom,United Kingdom,PSY,BSc,3rd,6
E,20210628_1000,l83ddudz,F,21,France,United Kingdom,PHA,BSc,3rd,7
E,20210628_1000,amoaaj9x,M,25,United Kingdom,United Kingdom,MED,BSc,5th+,7
E,20210628_1000,owzo4wwo,F,23,Vietnam,Vietnam,ECO,BSc,3rd,7
R,20210628_1200,wh3zb82m,M,44,Syria,Syria,PPL,PhD,1st,7
R,20210628_1200,8w3btk72,M,21,United Kingdom,United Kingdom,DEV,BSc,3rd,6
R,20210628_1200,oumpjj89,F,21,United Kingdom,United Kingdom,NBS,BSc,3rd,7
R,20210628_1200,x73zfae3,F,21,United Kingdom,United Kingdom,PSY,BSc,3rd,6
R,20210628_1200,55tkeh2g,M,20,United Kingdom,United Kingdom,HIS,BSc,2nd,7
R,20210628_1200,owuewxi2,F,23,Hong Kong,United Kingdom,PHA,PGDip,5th+,7
R,20210628_1200,sbmkh1vf,M,21,United Kingdom,United Kingdom,ENV,BSc,3rd,6
R,20210628_1200,lm9eu726,M,20,United Kingdom,United Kingdom,ECO,BSc,1st,6
R,20210628_1200,yfmyonpn,M,21,United Kingdom,United Kingdom,NBS,BSc,3rd,6
R,20210628_1200,bwjrzusv,F,20,United Kingdom,United Kingdom,NBS,BSc,2nd,7
ER,20210628_1400,cpgmvfnm,F,20,United Kingdom,United Kingdom,ECO,BSc,1st,7
ER,20210628_1400,o9o05hu1,F,25,India,India,AMA,BSc,2nd,7
ER,20210628_1400,h8m28kat,F,20,Nigeria,Nigeria,NBS,BSc,2nd,5
ER,20210628_1400,5sc4ncpy,F,20,United Kingdom,United Kingdom,ECO,BSc,2nd,7
ER,20210628_1400,xio1kk58,F,20,Nigeria,United Kingdom,BIO,BSc,3rd,6
